Code,Name,Purpose,content,status
E512,Stannous chloride,antioxidant,"Tin(II) chloride, also known as stannous chloride, is a white crystalline solid with the formula SnCl2. It forms a stable dihydrate, but aqueous solutions tend to undergo hydrolysis, particularly if hot. SnCl2 is widely used as a reducing agent (in acid solution), and in electrolytic baths for tin-plating. Tin(II) chloride should not be confused with the other chloride of tin; tin(IV) chloride or stannic chloride (SnCl4).",Approved in the EU
E513,Sulfuric acid,acid,"Sulfuric acid (American spelling and the preferred IUPAC name) or sulphuric acid (Commonwealth spelling), known in antiquity as oil of vitriol, is a mineral acid composed of the elements sulfur, oxygen, and hydrogen, with the molecular formula H2SO4. It is a colorless, odorless, and viscous liquid that is miscible with water.Pure sulfuric acid does not occur naturally due to its strong affinity to water vapor; it is hygroscopic and readily absorbs water vapor from the air. Concentrated sulfuric acid is highly corrosive towards other materials, from rocks to metals, since it is an oxidant with powerful dehydrating properties. Phosphorus pentoxide is a notable exception in that it is not dehydrated by sulfuric acid but, to the contrary, dehydrates sulfuric acid to sulfur trioxide. Upon addition of sulfuric acid to water, a considerable amount of heat is released; thus, the reverse procedure of adding water to the acid should not be performed since the heat released may boil the solution, spraying droplets of hot acid during the process. Upon contact with body tissue, sulfuric acid can cause severe acidic chemical burns and even secondary thermal burns due to dehydration. Dilute sulfuric acid is substantially less hazardous without the oxidative and dehydrating properties; however, it should still be handled with care for its acidity.
Sulfuric acid is a very important commodity chemical; a country's sulfuric acid production is a good indicator of its industrial strength. It is widely produced with different methods, such as contact process, wet sulfuric acid process, lead chamber process, and some other methods. Sulfuric acid is also a key substance in the chemical industry. It is most commonly used in fertilizer manufacture but is also important in mineral processing, oil refining, wastewater processing, and chemical synthesis. It has a wide range of end applications, including in domestic acidic drain cleaners, as an electrolyte in lead-acid batteries, in dehydrating a compound, and in various cleaning agents.
Sulfuric acid can be obtained by dissolving sulfur trioxide in water.",Approved in the EU
E514,Sodium,acid,"Sodium is a chemical element with the symbol Na (from Latin natrium) and atomic number 11. It is a soft, silvery-white, highly reactive metal. Sodium is an alkali metal, being in group 1 of the periodic table. Its only stable isotope is 23Na. The free metal does not occur in nature and must be prepared from compounds. Sodium is the sixth most abundant element in the Earth's crust and exists in numerous minerals such as feldspars, sodalite, and halite (NaCl). Many salts of sodium are highly water-soluble: sodium ions have been leached by the action of water from the Earth's minerals over eons, and thus sodium and chlorine are the most common dissolved elements by weight in the oceans.
Sodium was first isolated by Humphry Davy in 1807 by the electrolysis of sodium hydroxide. Among many other useful sodium compounds, sodium hydroxide (lye) is used in soap manufacture, and sodium chloride (edible salt) is a de-icing agent and a nutrient for animals including humans.
Sodium is an essential element for all animals and some plants. Sodium ions are the major cation in the extracellular fluid (ECF) and as such are the major contributor to the ECF osmotic pressure and ECF compartment volume. Loss of water from the ECF compartment increases the sodium concentration, a condition called hypernatremia. Isotonic loss of water and sodium from the ECF compartment decreases the size of that compartment in a condition called ECF hypovolemia.
By means of the sodium-potassium pump, living human cells pump three sodium ions out of the cell in exchange for two potassium ions pumped in; comparing ion concentrations across the cell membrane, inside to outside, potassium measures about 40:1, and sodium, about 1:10. In nerve cells, the electrical charge across the cell membrane enables transmission of the nerve impulse—an action potential—when the charge is dissipated; sodium plays a key role in that activity.

",Approved in the EU
E515,Potassium,Not Available,"Potassium is the chemical element with the symbol K (from Neo-Latin kalium) and atomic number 19. It is a silvery white metal that is soft enough to easily cut with a knife. Potassium metal reacts rapidly with atmospheric oxygen to form flaky white potassium peroxide in only seconds of exposure. It was first isolated from potash, the ashes of plants, from which its name derives. In the periodic table, potassium is one of the alkali metals, all of which have a single valence electron in the outer electron shell, which is easily removed to create an ion with a positive charge (which combines with anions to form salts). In nature, potassium occurs only in ionic salts. Elemental potassium reacts vigorously with water, generating sufficient heat to ignite hydrogen emitted in the reaction, and burning with a lilac-colored flame. It is found dissolved in seawater (which is 0.04% potassium by weight), and occurs in many minerals such as orthoclase, a common constituent of granites and other igneous rocks.Potassium is chemically very similar to sodium, the previous element in group 1 of the periodic table. They have a similar first ionization energy, which allows for each atom to give up its sole outer electron. It was suspected in 1702 that they were distinct elements that combine with the same anions to make similar salts, and this was proven in 1807 through using electrolysis. Naturally occurring potassium is composed of three isotopes, of which 40K is radioactive. Traces of 40K are found in all potassium, and it is the most common radioisotope in the human body.
Potassium ions are vital for the functioning of all living cells. The transfer of potassium ions across nerve cell membranes is necessary for normal nerve transmission; potassium deficiency and excess can each result in numerous signs and symptoms, including an abnormal heart rhythm and various electrocardiographic abnormalities. Fresh fruits and vegetables are good dietary sources of potassium. The body responds to the influx of dietary potassium, which raises serum potassium levels, by shifting potassium from outside to inside cells and increasing potassium excretion by the kidneys.
Most industrial applications of potassium exploit the high solubility of its compounds in water, such as saltwater soap. Heavy crop production rapidly depletes the soil of potassium, and this can be remedied with agricultural fertilizers containing potassium, accounting for 95% of global potassium chemical production.

",Approved in the EU
E516,Calcium sulfate,Not Available,No Information Available,Approved in the EU
E517,Ammonium sulfate,acidity regulator,No Information Available,Approved in the EU
E518,Magnesium sulfate,firming agent,"Magnesium sulfate or magnesium sulphate (in English-speaking countries other than the US) is a chemical compound, a salt with the formula MgSO4, consisting of magnesium cations Mg2+ (20.19% by mass) and sulfate anions SO2−4. It is a white crystalline solid, soluble in water but not in ethanol.
Magnesium sulfate is usually encountered in the form of a hydrate MgSO4·nH2O, for various values of n between 1 and 11. The most common is the heptahydrate MgSO4·7H2O, known as Epsom salt, which is a household chemical with many traditional uses, including bath salts.The main use of magnesium sulfate is in agriculture, to correct soils deficient in magnesium (an essential plant nutrient because of the role of magnesium in chlorophyll and photosynthesis). The monohydrate is favored for this use; by the mid 1970s, its production was 2.3 million tons per year. The anhydrous form and several hydrates occur in nature as minerals, and the salt is a significant component of the water from some springs.",No Status Available
E519,Copper(II) sulfate,preservative,No Information Available,No Status Available
E520,Aluminium sulfate,firming agent,"Aluminium sulfate is a salt with the formula Al2(SO4)3. It is soluble in water and is mainly used as a coagulating agent (promoting particle collision by neutralizing charge) in the purification of drinking water and wastewater treatment plants, and also in paper manufacturing.
The anhydrous form occurs naturally as a rare mineral millosevichite, found for example in volcanic environments and on burning coal-mining waste dumps. Aluminium sulfate is rarely, if ever, encountered as the anhydrous salt. It forms a number of different hydrates, of which the hexadecahydrate Al2(SO4)3·16H2O and octadecahydrate Al2(SO4)3·18H2O are the most common. The heptadecahydrate, whose formula can be written as [Al(H2O)6]2(SO4)3·5H2O, occurs naturally as the mineral alunogen.
Aluminium sulfate is sometimes called alum or papermaker's alum in certain industries. However, the name ""alum"" is more commonly and properly used for any double sulfate salt with the generic formula XAl(SO4)2·12H2O, where X is a monovalent cation such as potassium or ammonium.

",Approved in the EU
E521,Aluminium sodium sulfate,firming agent,"Sodium aluminium sulfate is the inorganic compound with the chemical formula NaAl(SO4)2·12H2O  (sometimes written Na2SO4·Al2(SO4)3·24H2O).  Also known as soda alum, sodium alum, or SAS, this white solid is used in the manufacture of baking powder and as a food additive. Its official mineral name is alum-Na (IMA symbol: Aum-Na).",Approved in the EU
E522,Aluminium potassium sulfate,acidity regulator,"Potassium alum, potash alum, or potassium aluminium sulfate is a chemical compound: the double sulfate of potassium and aluminium, with chemical formula KAl(SO4)2.  It is commonly encountered as the dodecahydrate, KAl(SO4)2·12H2O. It crystallizes in an octahedral structure in neutral solution and cubic structure in an alkali solution with space group P a −3 and lattice parameter of 12.18 Å. The compound is the most important member of the generic class of compounds called alums, and is often called simply alum.Potassium alum is commonly used in water purification, leather tanning, dyeing, fireproof textiles, and baking powder as E number E522. It also has cosmetic uses as a deodorant, as an aftershave treatment and as a styptic for minor bleeding from shaving.",Approved in the EU
E523,Aluminium ammonium sulfate,acidity regulator,"Ammonium aluminium sulfate, also known as ammonium alum or just alum (though there are many different substances also called ""alum""), is a white crystalline double sulfate usually encountered as the dodecahydrate, formula (NH4)Al(SO4)2·12H2O. It is used in small amounts in a variety of niche applications. The dodecahydrate occurs naturally as the rare mineral tschermigite.",Approved in the EU
E524,Sodium hydroxide,acidity regulator,"Sodium hydroxide, also known as lye and caustic soda, is an inorganic compound with the formula NaOH. It is a white solid ionic compound consisting of sodium cations Na+ and hydroxide anions OH−.
Sodium hydroxide is a highly corrosive base and alkali that decomposes lipids and proteins at ambient temperatures and may cause severe chemical burns. It is highly soluble in water, and readily absorbs moisture and carbon dioxide from the air. It forms a series of hydrates NaOH·nH2O. The monohydrate NaOH·H2O crystallizes from water solutions between 12.3 and 61.8 °C. The commercially available ""sodium hydroxide"" is often this monohydrate, and published data may refer to it instead of the anhydrous compound.
As one of the simplest hydroxides, sodium hydroxide is frequently used alongside neutral water and acidic hydrochloric acid to demonstrate the pH scale to chemistry students.Sodium hydroxide is used in many industries: in the making of wood pulp and paper, textiles, drinking water, soaps and detergents, and as a drain opener. Worldwide production in 2004 was approximately 60 million tons, while demand was 51 million tons.

",Approved in the EU
E525,Potassium hydroxide,acidity regulator,"Potassium hydroxide is an inorganic compound with the formula KOH, and is commonly called caustic potash.
Along with sodium hydroxide (NaOH), KOH is a prototypical strong base. It has many industrial and niche applications, most of which exploit its caustic nature and its reactivity toward acids. An estimated 700,000 to 800,000 tonnes were produced in 2005. KOH is noteworthy as the precursor to most soft and liquid soaps, as well as numerous potassium-containing chemicals.  It is a white solid that is dangerously corrosive.",Approved in the EU
E526,Calcium hydroxide,firming agent,"Calcium hydroxide (traditionally called slaked lime) is an inorganic compound with the chemical formula Ca(OH)2. It is a colorless crystal or white powder and is produced when quicklime (calcium oxide) is mixed with water. It has many names including hydrated lime, caustic lime, builders' lime, slaked lime, cal, and pickling lime. Calcium hydroxide is used in many applications, including food preparation, where it has been identified as E number E526. Limewater, also called milk of lime, is the common name for a saturated solution of calcium hydroxide.",Approved in the EU
E527,Ammonium hydroxide,acidity regulator,"Ammonia solution, also known as ammonia water, ammonium hydroxide, ammoniacal liquor, ammonia liquor, aqua ammonia, aqueous ammonia, or (inaccurately) ammonia, is a solution of ammonia in water. It can be denoted by the symbols NH3(aq).  Although the name ammonium hydroxide suggests an alkali with the composition [NH+4][OH−], it is actually impossible to isolate samples of NH4OH. The ions NH+4 and OH− do not account for a significant fraction of the total amount of ammonia except in extremely dilute solutions.",Approved in the EU
E528,Magnesium hydroxide,acidity regulator,No Information Available,Approved in the EU
E529,Calcium oxide,improving agent,"Calcium oxide (formula: CaO), commonly known as quicklime or burnt lime, is a widely used chemical compound. It is a white, caustic, alkaline, crystalline solid at room temperature. The broadly used term lime connotes calcium-containing inorganic compounds, in which carbonates, oxides, and hydroxides of calcium, silicon, magnesium, aluminium, and iron predominate. By contrast, quicklime specifically applies to the single compound calcium oxide. Calcium oxide that survives processing without reacting in building products, such as cement, is called free lime.Quicklime is relatively inexpensive. Both it and the chemical derivative calcium hydroxide (of which quicklime is the base anhydride) are important commodity chemicals.",Approved in the EU
E530,Magnesium oxide,anti-caking agent,"Magnesium oxide (MgO), or magnesia, is a white hygroscopic solid mineral that occurs naturally as periclase and is a source of magnesium (see also oxide). It has an empirical formula of MgO and consists of a lattice of Mg2+ ions and O2− ions held together by ionic bonding. Magnesium hydroxide forms in the presence of water (MgO + H2O → Mg(OH)2), but it can be reversed by heating it to remove moisture.
Magnesium oxide was historically known as magnesia alba (literally, the white mineral from Magnesia), to differentiate it from magnesia negra, a black mineral containing what is now known as manganese.

",Approved in the EU
E535,Sodium ferrocyanide,anti-caking agent,No Information Available,Approved in the EU
E536,Potassium ferrocyanide,anti-caking agent,No Information Available,Approved in the EU
E537,Ferrous hexacyanomanganate,anti-caking agent,No Information Available,No Status Available
E538,Calcium ferrocyanide,anti-caking agent,"Calcium ferrocyanide is an inorganic compound with the formula Ca2[Fe(CN)6]. It is the Ca2+ salt of [Fe(CN)6]4-, ferrocyanide complex ion.  A yellow solid, it is used as a precursor to the pigment Prussian blue.",Approved in the EU
E539,Sodium thiosulfate,antioxidant,"Sodium thiosulfate (sodium thiosulphate) is an inorganic compound with the formula Na2S2O3·xH2O, where x indicates the number of water molecules in the compound . Typically it is available as the white or colorless pentahydrate, Na2S2O3·5H2O. The solid is an efflorescent (loses water readily) crystalline substance that dissolves well in water.Sodium thiosulfate is used in gold mining, water treatment, analytical chemistry, the development of silver-based photographic film and prints, and medicine.  The medical uses of sodium thiosulfate include treatment of cyanide poisoning and pityriasis. It is on the World Health Organization's List of Essential Medicines.

",No Status Available
E540,Dicalcium diphosphate,emulsifier,"Calcium pyrophosphate (Ca2P2O7) is a chemical compound, an insoluble calcium salt containing the pyrophosphate anion. There are a number of forms reported: an anhydrous form, a dihydrate, Ca2P2O7·2H2O and a tetrahydrate, Ca2P2O7·4H2O. Deposition of dihydrate crystals in cartilage are responsible for the severe joint pain in cases of calcium pyrophosphate deposition disease (pseudo gout) whose symptoms are similar to those of gout. Ca2P2O7 is commonly used as a mild abrasive agent in toothpastes, because of its insolubility and nonreactivity toward fluoride.",No Status Available
E541,Sodium aluminium phosphate,emulsifier,"Sodium aluminium phosphate (SAlP) describes the inorganic compounds consisting of sodium salts of aluminium phosphates.  The most common SAlP has the formulas NaH14Al3(PO4)8·4H2O and Na3H15Al2(PO4)8. These materials are prepared by combining alumina, phosphoric acid, and sodium hydroxide.In addition to the usual hydrate, an anhydrous SAlP is also known, Na3H15Al2(PO4)8
(CAS#10279-59-1), referred to as 8:2:3, reflecting the ratio of phosphate to aluminium to sodium.  Additionally an SAlP of ill-defined stoichiometry is used (NaxAly(PO4)z (CAS# 7785-88-8).The acidic sodium aluminium phosphates are used as acids for baking powders for the chemical leavening of baked goods. Upon heating, SAlP combines with the baking soda to give carbon dioxide.  Most of its action occurs at baking temperatures, rather than when the dough or batter is mixed at room temperature.  SAlPs are advantageous because they impart a neutral flavor.  
As a food additive, it has the E number E541.  Basic sodium aluminium phosphates are also known, e.g., Na15Al3(PO4)8.  These species are useful in cheese making.

",Approved in the EU
E542,Bone phosphate,anti-caking agent,No Information Available,No Status Available
E543,Calcium sodium polyphosphate,emulsifier,No Information Available,No Status Available
E544,Calcium polyphosphate,emulsifier,No Information Available,No Status Available
E545,Ammonium polyphosphate,emulsifier,"Ammonium polyphosphate is an inorganic salt of polyphosphoric acid and ammonia containing both chains and possibly branching.  Its chemical formula is H(NH4PO3)nOH showing that each monomer consists of an orthophosphate radical of a phosphorus atom with three oxygens and one negative charge neutralized by an ammonium cation leaving two bonds free to polymerize.  In the branched cases some monomers are missing the ammonium anion and instead link to three other monomers.
The properties of ammonium polyphosphate depend on the number of monomers in each molecule and to a degree on how often it branches.  Shorter chains (n < 100) are more water sensitive and less thermally stable than longer chains (n > 1000), but short polymer chains (e.g. pyro-, tripoly-, and tetrapoly-) are more soluble and show increasing solubility with increasing chain length.Ammonium polyphosphate can be prepared by reacting concentrated phosphoric acid with ammonia.  However, iron and aluminum impurities, soluble in concentrated phosphoric acid, form gelatinous precipitates or ""sludges"" in ammonium polyphosphate at pH between 5 and 7. Other metal impurities such as copper, chromium, magnesium, and zinc form granular precipitates. However, depending on the degree of polymerization, ammonium polyphosphate can act as a chelating agent to keep certain metal ions dissolved in solution.Ammonium polyphosphate is used as a food additive, emulsifier, (E number: E545) and as a fertilizer.
Ammonium polyphosphate (APP) is also used as a flame retardant in many applications such as paints and coatings, and in a variety of polymers: the most important ones are polyolefins, and particularly polypropylene, where APP is part of intumescent systems. Compounding with APP-based flame retardants in polypropylene is described in. Further applications are thermosets, where APP is used in unsaturated polyesters and gel coats (APP blends with synergists), epoxies and polyurethane castings (intumescent systems). APP is also applied to flame retard polyurethane foams.
Ammonium polyphosphates used as flame retardants in polymers have long chains and a specific crystallinity (Form II). They start to decompose at 240 °C to form ammonia and phosphoric acid.  The phosphoric acid acts as an acid catalyst in the dehydration of carbon-based poly-alcohols, such as cellulose in wood.  The phosphoric acid reacts with alcohol groups to form heat-unstable phosphate esters.  The esters decompose to release carbon dioxide and regenerate the phosphoric acid catalyst.  In the gas phase, the release of non-flammable carbon dioxide helps to dilute the oxygen of the air and flammable decomposition products of the material that is burning.  In the condensed phase, the resultant carbonaceous char helps to shield the underlying polymer from attack by oxygen and radiant heat. Use as an intumescent is achieved when combined with starch-based materials such as pentaerythritol and melamine as expanding agents. The mechanisms of intumescence and the mode of action of APP are described in a series of publications.

",No Status Available
E550,Sodium,anti-caking agent,"Sodium is a chemical element with the symbol Na (from Latin natrium) and atomic number 11. It is a soft, silvery-white, highly reactive metal. Sodium is an alkali metal, being in group 1 of the periodic table. Its only stable isotope is 23Na. The free metal does not occur in nature and must be prepared from compounds. Sodium is the sixth most abundant element in the Earth's crust and exists in numerous minerals such as feldspars, sodalite, and halite (NaCl). Many salts of sodium are highly water-soluble: sodium ions have been leached by the action of water from the Earth's minerals over eons, and thus sodium and chlorine are the most common dissolved elements by weight in the oceans.
Sodium was first isolated by Humphry Davy in 1807 by the electrolysis of sodium hydroxide. Among many other useful sodium compounds, sodium hydroxide (lye) is used in soap manufacture, and sodium chloride (edible salt) is a de-icing agent and a nutrient for animals including humans.
Sodium is an essential element for all animals and some plants. Sodium ions are the major cation in the extracellular fluid (ECF) and as such are the major contributor to the ECF osmotic pressure and ECF compartment volume. Loss of water from the ECF compartment increases the sodium concentration, a condition called hypernatremia. Isotonic loss of water and sodium from the ECF compartment decreases the size of that compartment in a condition called ECF hypovolemia.
By means of the sodium-potassium pump, living human cells pump three sodium ions out of the cell in exchange for two potassium ions pumped in; comparing ion concentrations across the cell membrane, inside to outside, potassium measures about 40:1, and sodium, about 1:10. In nerve cells, the electrical charge across the cell membrane enables transmission of the nerve impulse—an action potential—when the charge is dissipated; sodium plays a key role in that activity.

",No Status Available
E551,Silicon dioxide,anti-caking agent,"Silicon oxide may refer to either of the following:

Silicon dioxide or quartz, SiO2, very well characterized
Silicon monoxide, SiO, not very well characterized",Approved in the EU
E552,Calcium silicate,anti-caking agent,"Calcium silicate is the chemical compound Ca2SiO4, also known as calcium orthosilicate and is sometimes formulated as 2CaO·SiO2. It is also referred to by the shortened trade name Cal-Sil or Calsil. It occurs naturally as the mineral larnite.

",Approved in the EU
E553a,Magnesium silicate,anti-caking agent,"Talc, or talcum, is a clay mineral composed of hydrated magnesium silicate, with the chemical formula Mg3Si4O10(OH)2. Talc in powdered form, often combined with corn starch, is used as baby powder. This mineral is used as a thickening agent and lubricant. It is an ingredient in ceramics, paints, and roofing material. It is a main ingredient in many cosmetics. It occurs as foliated to fibrous masses, and in an exceptionally rare crystal form. It has a perfect basal cleavage and an uneven flat fracture, and it is foliated with a two-dimensional platy form.
The Mohs scale of mineral hardness, based on scratch hardness comparison, defines value 1 as the hardness of talc, the softest mineral. When scraped on a streak plate, talc produces a white streak; though this indicator is of little importance, because most silicate minerals produce a white streak. Talc is translucent to opaque, with colors ranging from whitish grey to green with a vitreous and pearly luster. Talc is not soluble in water, and is slightly soluble in dilute mineral acids.Soapstone is a metamorphic rock composed predominantly of talc.",Approved in the EU
E553b,Talc,anti-caking agent,No Information Available,Approved in the EU
E554,Sodium aluminosilicate,anti-caking agent,"Sodium aluminosilicate refers to compounds which contain sodium, aluminium, silicon and oxygen, and which  may also contain water. These include synthetic amorphous sodium aluminosilicate, a few naturally occurring minerals and synthetic zeolites. Synthetic amorphous sodium aluminosilicate is widely used as a food additive, E 554.",removed from list per Commission Regulation (EU) No 380/2012 of 3 May 2012
